UUID,"[Number of vertices, Number of edges]",Edge Set
dd1d4380-1fe3-48d1-961c-40a1faced3ab,"[17, 21]","[(0, 5), (0, 6), (0, 9), (0, 14), (1, 16), (2, 11), (2, 16), (3, 6), (3, 16), (4, 5), (4, 12), (6, 13), (6, 15), (7, 8), (7, 11), (8, 11), (10, 15), (11, 14), (12, 14), (12, 15), (12, 16)]"
8973cc2c-c81d-4c6e-b0dd-dcc34798fc05,"[17, 19]","[(0, 7), (0, 16), (1, 2), (1, 6), (1, 13), (1, 14), (1, 15), (3, 12), (3, 16), (4, 9), (4, 10), (4, 16), (5, 12), (5, 13), (6, 10), (8, 11), (9, 16), (11, 16), (13, 15)]"
77d4b273-fb3d-4ffb-b57e-d6d5a99501d9,"[17, 20]","[(0, 1), (0, 10), (1, 4), (1, 13), (1, 14), (1, 15), (2, 6), (2, 10), (2, 11), (2, 16), (3, 8), (3, 9), (4, 10), (5, 14), (6, 12), (7, 11), (7, 14), (9, 12), (10, 11), (11, 13)]"
6ea975ec-08b6-4ff3-8231-6895eeaf5eee,"[17, 21]","[(0, 8), (0, 13), (1, 12), (2, 3), (3, 7), (3, 11), (3, 13), (3, 16), (4, 10), (4, 14), (5, 8), (5, 10), (6, 11), (6, 13), (6, 16), (7, 13), (7, 14), (9, 13), (10, 16), (12, 13), (12, 15)]"
6f113eda-ded5-4cd3-bf36-1864bf4c6294,"[17, 21]","[(0, 1), (0, 7), (0, 15), (1, 6), (1, 9), (2, 7), (2, 12), (3, 7), (3, 15), (3, 16), (4, 10), (5, 9), (5, 12), (6, 11), (7, 8), (7, 10), (8, 13), (9, 13), (12, 14), (13, 14), (13, 15)]"
bf570077-857f-4e62-84fe-dcff7ac8f5a4,"[17, 21]","[(0, 2), (0, 10), (1, 4), (1, 10), (2, 5), (2, 14), (3, 6), (3, 11), (3, 12), (4, 11), (5, 8), (5, 9), (5, 11), (5, 12), (7, 10), (10, 15), (11, 13), (12, 14), (12, 15), (13, 15), (15, 16)]"
8a4090bf-b61a-483e-b461-8f8a2f09f516,"[17, 21]","[(0, 2), (0, 7), (1, 6), (2, 7), (2, 12), (2, 15), (2, 16), (3, 8), (3, 14), (4, 10), (4, 16), (5, 13), (5, 14), (5, 16), (6, 14), (9, 12), (11, 13), (11, 16), (13, 14), (13, 15), (15, 16)]"
4a24b437-9e51-4468-b6ac-c9bf315519b5,"[18, 22]","[(0, 9), (1, 4), (2, 11), (2, 15), (3, 5), (3, 7), (3, 9), (3, 15), (3, 16), (4, 7), (4, 10), (4, 13), (5, 14), (6, 7), (6, 8), (6, 14), (6, 17), (7, 12), (9, 11), (9, 17), (13, 14), (13, 15)]"
083eefba-d631-4afa-a429-6d5b09472295,"[18, 22]","[(0, 2), (0, 4), (0, 12), (1, 4), (1, 8), (1, 10), (1, 13), (2, 10), (2, 15), (2, 16), (3, 14), (3, 16), (4, 9), (4, 11), (4, 14), (5, 12), (5, 17), (6, 8), (6, 15), (7, 12), (10, 12), (13, 14)]"
7e7b110a-9e18-4f8c-913b-43671093506c,"[18, 20]","[(0, 7), (0, 8), (1, 3), (1, 5), (1, 9), (1, 10), (1, 17), (2, 9), (3, 14), (3, 15), (4, 5), (4, 12), (4, 17), (6, 17), (8, 9), (8, 11), (9, 17), (11, 13), (11, 16), (12, 17)]"
80fa7514-7c83-444c-bee0-a76010824ba4,"[18, 21]","[(0, 7), (0, 10), (0, 14), (1, 13), (2, 10), (2, 14), (3, 16), (4, 5), (4, 13), (5, 13), (5, 17), (6, 14), (7, 8), (7, 9), (7, 10), (8, 15), (8, 16), (9, 12), (11, 12), (13, 14), (13, 17)]"
5733c8b7-59e6-4055-8a04-60ea033c2090,"[18, 21]","[(0, 16), (1, 14), (1, 15), (2, 6), (2, 11), (2, 12), (3, 10), (3, 13), (4, 8), (5, 11), (7, 8), (7, 13), (8, 9), (8, 11), (9, 11), (10, 11), (11, 13), (11, 16), (12, 17), (13, 16), (14, 16)]"
6fde7647-3fea-4c97-969d-df74715f2da3,"[18, 19]","[(0, 3), (1, 2), (1, 7), (1, 10), (1, 12), (3, 4), (3, 5), (3, 14), (3, 16), (6, 15), (7, 14), (8, 12), (9, 13), (9, 14), (11, 12), (11, 16), (12, 14), (15, 17), (16, 17)]"
fa99d945-ffa0-47f6-9e00-16ef6410a7da,"[18, 22]","[(0, 2), (0, 6), (0, 9), (0, 15), (1, 5), (1, 9), (1, 17), (2, 8), (2, 10), (3, 4), (3, 16), (4, 7), (5, 11), (5, 14), (6, 13), (7, 17), (9, 10), (9, 12), (9, 17), (10, 15), (12, 15), (13, 17)]"
70ee5d00-75dc-42cf-9edc-3148473d396c,"[18, 22]","[(0, 13), (1, 2), (1, 4), (2, 7), (2, 8), (2, 9), (2, 10), (2, 14), (3, 9), (3, 16), (4, 10), (4, 13), (5, 9), (6, 17), (8, 15), (8, 16), (9, 12), (9, 14), (10, 11), (11, 16), (14, 16), (16, 17)]"
a586248e-5056-4294-8aad-a0dfdd32e62d,"[18, 22]","[(0, 3), (1, 2), (1, 12), (2, 5), (2, 8), (2, 17), (3, 6), (3, 14), (4, 6), (4, 9), (4, 16), (5, 10), (5, 16), (7, 15), (8, 9), (8, 13), (8, 15), (9, 11), (10, 11), (14, 16), (14, 17), (16, 17)]"
7b49c7dd-e568-4419-b133-ef8ede28a195,"[18, 21]","[(0, 6), (0, 11), (1, 4), (1, 13), (2, 4), (2, 16), (2, 17), (3, 13), (3, 15), (4, 11), (5, 9), (7, 10), (7, 14), (8, 9), (8, 14), (9, 11), (10, 15), (12, 14), (12, 17), (13, 14), (14, 15)]"
320b67a7-b92c-457b-9cb1-897181f281c9,"[19, 22]","[(0, 16), (1, 15), (2, 6), (2, 9), (2, 12), (2, 14), (2, 16), (2, 17), (3, 15), (4, 13), (5, 8), (5, 12), (7, 10), (8, 10), (9, 14), (9, 18), (11, 15), (12, 14), (12, 15), (13, 18), (16, 17), (16, 18)]"
11a34eec-25f5-4aa8-a9a8-07e796f02333,"[19, 22]","[(0, 15), (1, 9), (1, 11), (1, 15), (2, 18), (3, 5), (3, 12), (4, 7), (4, 16), (5, 9), (5, 10), (5, 11), (5, 14), (6, 9), (6, 18), (7, 16), (7, 17), (8, 14), (11, 13), (12, 13), (12, 14), (15, 16)]"
8db7e0a3-458d-40e6-a7c1-79b1487109c5,"[19, 23]","[(0, 5), (1, 11), (2, 8), (2, 11), (2, 18), (3, 4), (3, 16), (3, 17), (4, 8), (4, 15), (5, 9), (5, 14), (5, 16), (6, 14), (6, 18), (7, 10), (7, 18), (8, 9), (8, 13), (11, 14), (11, 17), (12, 15), (15, 18)]"
8febd6ae-7c3f-430a-8213-4363861996d3,"[19, 23]","[(0, 12), (0, 13), (0, 17), (1, 18), (2, 15), (2, 17), (3, 15), (4, 6), (4, 8), (5, 16), (6, 13), (6, 16), (6, 17), (7, 17), (8, 15), (8, 16), (9, 14), (10, 13), (10, 14), (10, 15), (10, 16), (10, 18), (11, 14)]"
489183d4-423e-4bff-acbc-8bb04deace73,"[19, 23]","[(0, 13), (0, 14), (1, 3), (1, 12), (1, 15), (2, 9), (2, 10), (2, 15), (3, 13), (4, 16), (5, 6), (6, 7), (6, 11), (6, 13), (7, 18), (8, 10), (8, 13), (9, 17), (10, 12), (10, 13), (11, 13), (12, 18), (16, 17)]"
e23da7ea-63f2-4d0b-bf3a-a7e2324b06bc,"[19, 23]","[(0, 9), (0, 18), (1, 4), (1, 18), (2, 5), (3, 8), (3, 12), (3, 16), (4, 7), (4, 10), (4, 16), (5, 6), (5, 11), (5, 16), (6, 18), (7, 11), (8, 16), (8, 18), (9, 14), (10, 12), (11, 15), (11, 17), (12, 13)]"
8c0befa4-af94-4493-8515-c5845bd4d9f9,"[19, 22]","[(0, 17), (0, 18), (1, 5), (1, 6), (1, 18), (2, 4), (3, 5), (3, 13), (4, 5), (4, 9), (4, 16), (4, 18), (5, 16), (7, 12), (7, 15), (7, 17), (7, 18), (8, 11), (9, 10), (9, 14), (10, 15), (11, 15)]"
19f85a77-25c5-45a1-9514-776337895b33,"[19, 23]","[(0, 6), (0, 15), (1, 4), (2, 5), (3, 6), (3, 7), (3, 16), (3, 18), (4, 10), (5, 8), (5, 10), (5, 11), (5, 13), (6, 14), (7, 10), (7, 16), (8, 12), (9, 13), (9, 17), (12, 14), (12, 15), (13, 14), (16, 17)]"
c7494e13-e044-46e3-af2c-e9778c38734c,"[19, 23]","[(0, 4), (0, 10), (0, 18), (1, 7), (1, 13), (2, 5), (2, 9), (2, 15), (3, 8), (3, 18), (4, 6), (5, 16), (6, 7), (7, 10), (8, 12), (9, 13), (10, 12), (10, 14), (11, 16), (12, 13), (12, 18), (13, 16), (17, 18)]"
11f9a7c1-efac-4d8e-86ed-a3cbe74650d5,"[19, 23]","[(0, 6), (0, 13), (1, 5), (2, 3), (2, 5), (4, 11), (4, 16), (4, 17), (5, 6), (5, 10), (5, 14), (6, 9), (6, 11), (7, 10), (7, 11), (7, 16), (8, 13), (11, 18), (12, 13), (13, 17), (14, 16), (15, 17), (17, 18)]"
804e6c3d-d27e-4d52-a810-727ec6359ec1,"[20, 23]","[(0, 1), (0, 4), (0, 16), (0, 18), (2, 18), (3, 9), (3, 15), (3, 19), (4, 5), (4, 15), (4, 17), (5, 9), (6, 9), (6, 17), (7, 14), (8, 16), (10, 14), (11, 16), (12, 15), (13, 14), (13, 17), (15, 17), (16, 18)]"
c9f5ea34-4ddc-4126-a53f-d809f02b2de3,"[20, 24]","[(0, 2), (0, 3), (0, 11), (1, 9), (2, 8), (2, 19), (3, 14), (4, 6), (4, 7), (4, 11), (4, 17), (4, 18), (5, 8), (6, 7), (6, 13), (7, 9), (8, 16), (9, 14), (10, 14), (11, 19), (12, 14), (12, 17), (15, 19), (18, 19)]"
8a473634-26d4-4d19-a096-10e121490ee6,"[20, 22]","[(0, 15), (1, 10), (2, 15), (3, 5), (3, 6), (3, 7), (3, 9), (3, 13), (4, 8), (4, 16), (5, 15), (6, 10), (6, 14), (6, 16), (11, 12), (12, 13), (12, 14), (12, 17), (12, 19), (13, 15), (15, 18), (15, 19)]"
1826d305-7af3-4d1b-a3dc-6f7aef790c2c,"[20, 23]","[(0, 5), (1, 11), (1, 15), (1, 19), (2, 6), (2, 17), (3, 6), (3, 10), (3, 14), (4, 13), (5, 12), (5, 13), (5, 14), (7, 8), (8, 9), (9, 16), (11, 15), (11, 16), (12, 13), (12, 19), (13, 16), (15, 18), (15, 19)]"
bf79e804-8ab7-4fd3-8f86-166243c500a0,"[20, 23]","[(0, 9), (1, 3), (1, 5), (1, 12), (2, 4), (2, 10), (3, 15), (3, 17), (3, 18), (4, 5), (5, 6), (5, 12), (6, 16), (7, 18), (7, 19), (8, 18), (9, 19), (11, 15), (12, 16), (12, 19), (13, 18), (14, 18), (17, 18)]"
52bf9607-7706-4ab3-a181-a88fbb41ee69,"[20, 24]","[(0, 4), (0, 18), (1, 6), (1, 15), (2, 9), (2, 10), (2, 13), (2, 19), (3, 14), (4, 7), (4, 12), (5, 9), (5, 11), (5, 16), (6, 8), (6, 14), (6, 17), (9, 15), (10, 11), (10, 17), (12, 16), (12, 18), (13, 19), (16, 19)]"
e03be044-e160-4fb2-8984-841d9ee9a63d,"[20, 24]","[(0, 2), (0, 3), (0, 5), (0, 16), (0, 18), (1, 12), (2, 14), (3, 7), (3, 9), (4, 17), (6, 12), (6, 15), (7, 16), (8, 9), (8, 13), (8, 14), (8, 15), (9, 16), (9, 17), (10, 11), (10, 13), (10, 15), (10, 19), (18, 19)]"
630cc55b-cde0-42ae-95d1-1c373d81d905,"[20, 24]","[(0, 8), (0, 18), (1, 3), (1, 15), (2, 6), (2, 12), (2, 15), (3, 4), (3, 9), (5, 15), (6, 18), (7, 14), (7, 17), (7, 19), (8, 14), (9, 18), (10, 19), (11, 14), (11, 17), (11, 18), (13, 17), (13, 19), (14, 16), (15, 18)]"
ba77b76f-dfb6-4b55-8572-2fcd132c72cc,"[20, 21]","[(0, 4), (1, 6), (2, 10), (2, 12), (2, 19), (3, 4), (4, 17), (5, 11), (5, 14), (5, 17), (6, 17), (6, 19), (7, 8), (7, 13), (9, 13), (10, 16), (12, 18), (13, 15), (14, 18), (15, 16), (18, 19)]"
8f9ba239-e921-407d-8728-9275c5367195,"[20, 21]","[(0, 2), (0, 18), (0, 19), (1, 3), (1, 10), (1, 12), (1, 14), (1, 15), (4, 5), (4, 13), (4, 16), (6, 19), (7, 8), (8, 16), (9, 11), (9, 17), (11, 13), (11, 15), (11, 16), (14, 16), (17, 19)]"
